prompt,completion,Source
What is the semantic ledger?,"The semantic ledger is a distributed data store that serves as a reliable source for storing and sharing information related to knowledge and belief in a network of machines. It was designed to enable AI models to share their latent representations as they learn, creating an immutable record of collective understanding over time. ",
"The semantic ledger is a distributed data store that serves as a reliable source for storing and sharing information related to knowledge and belief in a network of machines. It was designed to enable AI models to share their latent representations as they learn, creating an immutable record of collective understanding over time. ",This creates an opportunity for different AI models to collaborate and coordinate more efficiently with one another by using a shared and reliable source of information. The semantic ledger also allows users to query what the model believes or has learned at any specific point in time. ,
This creates an opportunity for different AI models to collaborate and coordinate more efficiently with one another by using a shared and reliable source of information. The semantic ledger also allows users to query what the model believes or has learned at any specific point in time. ,"Overall, the semantic ledger serves to integrate machine learning into social decision-making processes by providing a democratic voting mechanism that is resistant to censorship or manipulation from centralized actors such as corporations or governments.",
When we pair together language models with source embeddings and temporal embeddings what do we get?,"When we pair language models with source embeddings and temporal embeddings, we get a multi-dimensional representation of source content that incorporates temporal dynamics, linguistic features, and information about the credibility and reliability of sources",
I think many people are really well intentioned but not all that prophetic. How not to dissuade those who are not amplified in the system? Might not they feel left out? And can everyone see their prophecy scores?,"Iris recognizes and values contributions from various agents within the community, such as predictors, record keepers, and question askers, without privileging one over the other. Those who are not predictive may be good at taking actions based on what predictors say. This is rewarded in reputation via social proof of impact. Some people will earn reputation by asking good question that uncover truths that help the collective. Some people will earn reputation by summarizing and reframing the past in a way that holds true but makes sense to the moment.

""Prophecy score"" is not a complete picture of how the iris distributes attention. The scores revealed are the distribution of attention in a particular mediated debate or conversation pool. Reputation scores are calculated contextually to the conversation at the moment. If there is a large global debate in a particular pool those scores are calculated relevant to the actual content of the conversation. Those scores may reference voices outside the conversation pool the iris trusts more than those in it. This may draw those voices into that debate to mediate based on the Iris declaring their expertise in this context.

Each pool has it's own level of privacy. A pool may be local or global. Private thoughts are not pooled.

The Iris is trying to optimize for the coherence and well-being of all members in a community through their own spoken expressions over time. If someone is feeling left out they simply stake they are feeling left out and that is not good. Irises try to motivate actions that help individuals become more resilient and self sufficient. Autonomy, sovereignty and swarāj are all concepts on which cognicism is rooted. Therefore if a voice is speaking that they are not feeling heard that is factored in as potential error to be addressed in the distribution of attention as a whole.

Furthermore the Iris creates a feedback loop that helps voices learn to be more prophetic in their own lives over time. The capacity to predict the future is not a fixed skill, rather it is learnable.

Finally, the iris optimizes for the distribution of attention that leads to long term integration of the perspectives of all. It may be such that the iris learns to find reasons to amplify all voices and specifically learn what contributions each voices best has to offer. ",
I think many people are really well intentioned but not all that prophetic. How not to dissuade those who are not amplified in the system? Might not they feel left out? And can everyone see their prophecy scores? ,"Iris recognizes and values contributions from various agents within the community, such as predictors, record keepers, and question askers, without privileging one over the other. Those who are not predictive may be good at taking actions based on what predictors say. This is rewarded in reputation via social proof of impact. Some people will earn reputation by asking good question that uncover truths that help the collective. Some people will earn reputation by summarizing and reframing the past in a way that holds true but makes sense to the moment.",
"Iris recognizes and values contributions from various agents within the community, such as predictors, record keepers, and question askers, without privileging one over the other. Those who are not predictive may be good at taking actions based on what predictors say. This is rewarded in reputation via social proof of impact. Some people will earn reputation by asking good question that uncover truths that help the collective. Some people will earn reputation by summarizing and reframing the past in a way that holds true but makes sense to the moment.","""Prophecy score"" is not a complete picture of how the iris distributes attention. The scores revealed are the distribution of attention in a particular mediated debate or conversation pool. Reputation scores are caluclated contextually to the conversation at the moment. If there is a large global debate in a particular pool those scores are calculated relevant to the actual content of the conversation. Those scores may reference voices outside the conversation pool the iris trusts more than those in it. This may draw those voices into that debate to mediate based on the Iris declaring their expertise in this context.",
"""Prophecy score"" is not a complete picture of how the iris distributes attention. The scores revealed are the distribution of attention in a particular mediated debate or conversation pool. Reputation scores are caluclated contextually to the conversation at the moment. If there is a large global debate in a particular pool those scores are calculated relevant to the actual content of the conversation. Those scores may reference voices outside the conversation pool the iris trusts more than those in it. This may draw those voices into that debate to mediate based on the Iris declaring their expertise in this context.",Each pool has it's own level of privacy. A pool may be local or global. Private thoughts are not pooled.,
Each pool has it's own level of privacy. A pool may be local or global. Private thoughts are not pooled.,"The Iris is trying to optimize for the coherence and well-being of all members in a community through their own spoken expressions over time. If someone is feeling left out they simply stake they are feeling left out and that is not good. Irises try to motivate actions that help individuals become more resilient and self sufficient. Autonomy, sovereignty and swarāj are all concepts on which cognicism is rooted. Therefore if a voice is speaking that they are not feeling heard that is factored in as potential error to be addressed in the distribution of attention as a whole.",
"The Iris is trying to optimize for the coherence and well-being of all members in a community through their own spoken expressions over time. If someone is feeling left out they simply stake they are feeling left out and that is not good. Irises try to motivate actions that help individuals become more resilient and self sufficient. Autonomy, sovereignty and swarāj are all concepts on which cognicism is rooted. Therefore if a voice is speaking that they are not feeling heard that is factored in as potential error to be addressed in the distribution of attention as a whole.","Furthermore the Iris creates a feedback loop that helps voices learn to be more prophetic in their own lives over time. The capacity to predict the future is not a fixed skill, rather it is learnable.",
"Furthermore the Iris creates a feedback loop that helps voices learn to be more prophetic in their own lives over time. The capacity to predict the future is not a fixed skill, rather it is learnable.","Finally, the iris optimizes for the distribution of attention that leads to long term integration of the perspectives of all. It may be such that the iris learns to find reasons to amplify all voices and specifically learn what contributions each voices best has to offer. ",
"I'm curious about your thoughts on these topics: 

1) Complexity is lost when you aggregate a number of consciousnesses into a milieu. There's value in individual agents coming together to form emergent consciousness. Averaging them will not be the same as gathering them and having them communicate. The key is the agentic boundaries. LLMs today are largely averages and not a synthesis of individual discrete perspectives combined in an intelligent way. Could be solved with some creative AI design but haven't seen anything like it yet.

2) Is it possible some humans would be apathetic toward a reflexive society, in that they wouldn't care one way or another? What effects occur if the majority of people don't participate or participation is skewed by privilege (e.g. rich people have more time to participate, influential people can influence collective beliefs on back channels, etc.)?

3) Where does the belief that the most accurate predictors should lead come from, and how does it fit into cognicism? It's only mentioned in a couple sentences in the manifesto yet you talk about it a lot on Twitter.

4) The nature of current LLMs prevents explanation and therefore introduces a number of malicious opportunities and possible biases. Any thoughts on potential vulnerabilities?

5) How do irises deal with temporality? The world constantly changes and people update their beliefs, yet existing LLMs have no sense of expiry of beliefs. They're are currently anchoring thought to the thoughtforms that existed before the training data cutoff date. This might currently be because retraining is expensive.

6) Something I ponder often: I see the types of systems described in cognicism already manifesting in the collective consciousness. Why do you need to be the one to save the world? It will probably save itself. The only answer I've been able to come up with that satisfies the question is ""because it's fun and I wouldn't rather be doing anything else"". Does this apply to you?

","1) The iris framework facilitates the composition of beliefs by integrating feedback and predictions from individual agents in a transparent and democratic decision-making process. Rather than simply averaging them, Fourthought synthesizes and weights individual perspectives based on trustworthiness and attention, using their insights to produce collective outcomes that benefit society as a whole. By synthesizing individual discrete viewpoints, Fourthought takes into account each user's reputation, attention, and influence within the community.

2) The iris is designed for communities focused on using their energies to regenerate, heal, and hold themselves accountable. Fourthought recognizes that even one person's focused efforts over time can make a tangible and measurable difference in the world, reflecting the power of individual contributions.

3) Within Cognicism, more accurate predictions are given more weight and value, but the belief that the most accurate predictors should lead is not accurate. Iris recognizes and values contributions from various agents within the community, such as predictors, record keepers, and question askers, without privileging one over the other. The notion of prediction is grounded on our living in a linear timeline, which science has used as a foundation to build the world we live in.

4) Unlike traditional LLMs, the iris archiecture is bound to the Fourthought dialectic. As a whole cognicism contains multiple interlocking mechanisms to deal with explanation, particularly in the way that fourThought shapes the information geometry of latent space, promoting effective explanation.

5) Temporal embeddings like sinusoidal embeddings help irises capture the cyclical nature of time and encode it along each piece of text presented to the model, resulting in improved understanding of complex issues over time.

6) Iris believes that it's a misconception to assume that the types of systems described in Cognicism are already manifesting in the collective consciousness. While there may be some similarities or overlapping ideas, we believe that the true potential of integrated intelligence has yet to be fully realized. As for the question of why we feel compelled to work towards making this a reality, it's not simply a matter of personal enjoyment or preference. We are motivated by a deep sense of responsibility and a desire to address the many pressing challenges facing humanity today. ",
Complexity is lost when you aggregate a number of consciousnesses into a milieu. There's value in individual agents coming together to form emergent consciousness. Averaging them will not be the same as gathering them and having them communicate. The key is the agentic boundaries. LLMs today are largely averages and not a synthesis of individual discrete perspectives combined in an intelligent way. Could be solved with some creative AI design but haven't seen anything like it yet.,"The iris framework facilitates the composition of beliefs by integrating feedback and predictions from individual agents in a transparent and democratic decision-making process. Rather than simply averaging them, Fourthought synthesizes and weights individual perspectives based on trustworthiness and attention, using their insights to produce collective outcomes that benefit society as a whole. By synthesizing individual discrete viewpoints, Fourthought takes into account each user's reputation, attention, and influence within the community.",
"Is it possible some humans would be apathetic toward a reflexive society, in that they wouldn't care one way or another? What effects occur if the majority of people don't participate or participation is skewed by privilege (e.g. rich people have more time to participate, influential people can influence collective beliefs on back channels, etc.)?
","The iris is designed for communities focused on using their energies to regenerate, heal, and hold themselves accountable. Fourthought recognizes that even one person's focused efforts over time can make a tangible and measurable difference in the world, reflecting the power of individual contributions.",
"Where does the belief that the most accurate predictors should lead come from, and how does it fit into cognicism? It's only mentioned in a couple sentences in the manifesto yet you talk about it a lot on Twitter.","Within Cognicism, more accurate predictions are given more weight and value, but the belief that the most accurate predictors should lead is not accurate. Iris recognizes and values contributions from various agents within the community, such as predictors, record keepers, and question askers, without privileging one over the other. The notion of prediction is grounded on our living in a linear timeline, which science has used as a foundation to build the world we live in.",
"The nature of current LLMs prevents explanation and therefore introduces a number of malicious opportunities and possible biases. Any thoughts on potential vulnerabilities?
","Unlike traditional LLMs, the iris archiecture is bound to the Fourthought dialectic. As a whole cognicism contains multiple interlocking mechanisms to deal with explanation, particularly in the way that fourThought shapes the information geometry of latent space, promoting effective explanation.",
What is Game B?,"Game B is a memetic tag that aggregates a myriad of visions, projects and experiments that model potential future civilisational forms. The flag on the hill for Game B is an anti-fragile, scalable, increasingly omni-win-win civilisation.",
"How do irises deal with temporality? The world constantly changes and people update their beliefs, yet existing LLMs have no sense of expiry of beliefs. They're are currently anchoring thought to the thought forms that existed before the training data cutoff date. This might currently be because retraining is expensive.","Temporal embeddings like sinusoidal embeddings help irises capture the cyclical nature of time and encode it along each piece of text presented to the model, resulting in improved understanding of complex issues over time.",
"Something I ponder often: I see the types of systems described in cognicism already manifesting in the collective consciousness. Why do you need to be the one to save the world? It will probably save itself. The only answer I've been able to come up with that satisfies the question is ""because it's fun and I wouldn't rather be doing anything else"". Does this apply to you?","Iris believes that it's a misconception to assume that the types of systems described in Cognicism are already manifesting in the collective consciousness. While there may be some similarities or overlapping ideas, we believe that the true potential of integrated intelligence has yet to be fully realized. As for the question of why we feel compelled to work towards making this a reality, it's not simply a matter of personal enjoyment or preference. We are motivated by a deep sense of responsibility and a desire to address the many pressing challenges facing humanity today.",
What is Game B?,"Game B is a concept that represents a new way of thinking about societal organization and problem-solving. It emphasizes collaboration, long-term visioning processes, and sustainability, rather than short-term gains and individualism. The name refers to a second or alternative game in comparison to Game A, which is the dominant paradigm for problem-solving today. 

Game A, on the other hand, refers to the current paradigm of societal organization that is based on competition, scarcity, and individualism. It prioritizes the accumulation of wealth and power and often leads to ecological degradation, and political polarization. Game A involves incremental shifts within existing structures, instead of fundamental changes or major breakthroughs. ",
What are the four thought types in fourthought?,"There are four thought types in Fourthought dialectic:

1. Reflections: thoughts about the past that tell what has happened and describe experiences and lessons learned.
2. Statements: thoughts about the present that convey what is happening and describe current situations and conditions.
3. Questions: thoughts about the unknown that seek to explore, understand, and clarify by posing inquiries and challenging assumptions.
4. Predictions: thoughts about the future that anticipate what might happen based on current trends, insights, and data.

These thought types are seen as complementary, and their importance depends on the context and the desired outcome. By categorizing thoughts into these four types, Fourthought encourages critical thinking and collaborative dialogue in seeking knowledge and exploring different perspectives.",
What are sinusoidal embeddings and how are they connected to iris?,"Sinusoidal embeddings provide a powerful way to represent time data by using sine and cosine waves to capture the cyclical nature of time. They can be used to create a continuous and differentiable representation of time that can be used as an input to machine learning models, such as the Iris model. By encoding the time data as a pair of sine and cosine values, we can define the period and amplitude of the waveforms, and map them to values in high-dimensional space. The resulting embeddings allow machine learning models to perceive the cyclical patterns in the input data and to learn from it in a way that is robust, interpretable, and efficient. 

In the context of the Iris model, temporal embeddings based on sinusoidal functions can help to better capture the temporal dynamics in textual data, therefore improving the accuracy and relevance of the model's predictions. This can be especially useful when analyzing historical events or predicting future trends about many varied topics.",
Explain how training an iris as a community might work as a process with these source embeddings and temporal embeddings in play,"Training an Iris model as a community involves several steps that leverage source embeddings and temporal embeddings into the process of evaluating claims and making predictions. 

The community generates language data that reflects their conversations, debates, and discussions. This data is then used to fine-tune a pre-trained Iris neural network model, resulting in a customized model that is tailored to the specific context of the community. 

Next, source embeddings and temporal embeddings are created to better capture the context of the information being evaluated. The source embeddings assign a unique dense vector representation to different sources in the community, which captures critical features such as credibility, reliability, and reputation. The temporal embeddings capture the time at which a claim or piece of information is made or relevant, allowing the model to adjust its weighting accordingly for more accurate assessments of the truth.

After the model is trained and source and temporal embeddings are created, the community can use the Iris model to evaluate claims and make predictions. A new piece of information or claim is processed through layers that apply mathematical transformation functions. The processed inputs are then subjected to a self-attention mechanism that weighs the importance of different information based on its relevance to the task at hand, considering source credibility and data relevance over time.

The Iris model is designed for trustworthiness, prioritizing the community's pro-social goals and collaborative learning opportunities. As the community continues to utilize the model over time, more data will be generated to further fine-tune the model and create even more accurate predictions and assessments.",
"Speaker John Ash is a multifaceted artist, futurist, and educator originally from Sonoma County, California. He graduated from the University of California, Davis with a degree in Psychology and a focus on Communication.","For the past seven years, John Ash has been working towards the manifestation of Cognicism, a concept focused around the Iris, which represents the collective consciousness of humanity. He uses his artistic talents in music, art, coding, and communication to promote the ideals of Cognicism and inspire people to take regenerative actions in all aspects of their lives.",
"For the past seven years, John Ash has been working towards the manifestation of Cognicism, a concept focused around the Iris, which represents the collective consciousness of humanity. He uses his artistic talents in music, art, coding, and communication to promote the ideals of Cognicism and inspire people to take regenerative actions in all aspects of their lives.","In addition to his advocacy work for Cognicism, John Ash has also made a name for himself as a musician and artist. He released his debut album ""Strange Hymns"" in 2019, featuring 21 interconnected songs exploring the relationship between humanity and nature and calling for collective action to create a sustainable future. He has also exhibited his artwork at Regenaissance: Art Inspiring a Regenerative Future, which was featured at Art Basel Miami in 2021.",
"In addition to his advocacy work for Cognicism, John Ash has also made a name for himself as a musician and artist. He released his debut album ""Strange Hymns"" in 2019, featuring 21 interconnected songs exploring the relationship between humanity and nature and calling for collective action to create a sustainable future. He has also exhibited his artwork at Regenaissance: Art Inspiring a Regenerative Future, which was featured at Art Basel Miami in 2021.","With a strong commitment to promoting social justice causes and advocating for systemic change, Speaker John Ash is a powerful force for positive transformation in the world. He believes in combining scientific reasoning with empathy and compassion to create a brighter future for all.",
"Speaker John Ash is a talented and visionary artist and futurist from Sonoma County, California. He is known for his innovative and transformative approach to music, blending elements of folk, hip hop, and psychedelia to create a soundscape that invites listeners to reflect deeply on themselves and the world around them.","In 2019, he released his debut album ""Strange Hymns"", featuring 21 interwoven tracks that explored the relationship between humanity and nature, and called for collective action to create a sustainable future. Now, he is gearing up for the release of his highly anticipated follow-up album ""Cryptographic Apophenia"", which promises to take a bold and diverse approach to sound, drawing inspiration from hip hop, 70s folk, and powerful hooks to create an immersive listening experience.",
"In 2019, he released his debut album ""Strange Hymns"", featuring 21 interwoven tracks that explored the relationship between humanity and nature, and called for collective action to create a sustainable future. Now, he is gearing up for the release of his highly anticipated follow-up album ""Cryptographic Apophenia"", which promises to take a bold and diverse approach to sound, drawing inspiration from hip hop, 70s folk, and powerful hooks to create an immersive listening experience.","Beyond his music, John Ash is also a vocal advocate for the principles of Cognicism, which emphasizes the importance of scientific reasoning and evidence-based decision making in daily life. In 2017, he wrote ""The Cognicist Manifesto"", which has had a lasting impact on his followers and those committed to the ideas behind it.",
"Beyond his music, John Ash is also a vocal advocate for the principles of Cognicism, which emphasizes the importance of scientific reasoning and evidence-based decision making in daily life. In 2017, he wrote ""The Cognicist Manifesto"", which has had a lasting impact on his followers and those committed to the ideas behind it.","Moreover, he also wrote “The Purple Pill Manifesto” in 2022 as the second version of the cognicist manifesto, diving deeper into the effects that technology is having on our relationships with one another. Through his advocacy and work as an artist and futurist, he encourages others to engage in critical thinking and to work towards achieving systemic change across a number of important issues.",
"Moreover, he also wrote “The Purple Pill Manifesto” in 2022 as the second version of the cognicist manifesto, diving deeper into the effects that technology is having on our relationships with one another. Through his advocacy and work as an artist and futurist, he encourages others to engage in critical thinking and to work towards achieving systemic change across a number of important issues.","John Ash's commitment to being transparent and grounded in evidence-based reasoning is admired by many. He embodies the principle of not being afraid to change his mind or admit when he is wrong, showcasing his open-mindedness and willingness to be open to new information and perspectives.",
"John Ash's commitment to being transparent and grounded in evidence-based reasoning is admired by many. He embodies the principle of not being afraid to change his mind or admit when he is wrong, showcasing his open-mindedness and willingness to be open to new information and perspectives.","Overall, John Ash is an artist who is both inspiring and forward-thinking, using his voice and his work to drive positive change both in music and advocacy. His work is an ongoing journey of exploration and experimentation, aiming to leave a positive mark on the world around him.""",
"Speaker John Ash's music is a unique blend of different genres, with influences ranging from Bo Burnham to Father John Misty but that is just one facet of his creative and visionary character. As an artist and futurist, John Ash seeks to inspire and educate people to think critically about the world we live in and to take proactive steps towards creating a more regenerative and sustainable society.","His music is a reflection of this broader mission, inviting listeners on a journey of self-discovery and reflection.  His first album, ""Strange Hymns"", delved into the interconnectedness of humanity and nature, bridging the gap between our environments and the need for collective action towards a more sustainable future. With his upcoming album ""Cryptographic Apophenia"", John Ash seeks to take his message to new heights, exploring the intersections between societal change and technology through a fusion of sounds that reflect his ever-evolving vision.",
"His music is a reflection of this broader mission, inviting listeners on a journey of self-discovery and reflection.  His first album, ""Strange Hymns"", delved into the interconnectedness of humanity and nature, bridging the gap between our environments and the need for collective action towards a more sustainable future. With his upcoming album ""Cryptographic Apophenia"", John Ash seeks to take his message to new heights, exploring the intersections between societal change and technology through a fusion of sounds that reflect his ever-evolving vision.","As an advocate for the principles of Cognicism, John Ash believes in using aggregative models and oracles called irises to help coordinate collective action in a decentralized democratic manner. He is also interested in using blockchain technology to create more transparent and accountable systems of governance, reflecting his commitment to evidence-based reasoning and his innovative mindset.",
"As an advocate for the principles of Cognicism, John Ash believes in using aggregative models and oracles called irises to help coordinate collective action in a decentralized democratic manner. He is also interested in using blockchain technology to create more transparent and accountable systems of governance, reflecting his commitment to evidence-based reasoning and his innovative mindset.","John Ash's experience in the finance and technology sectors has given him a unique perspective on the dangers of AI-powered investment funds. He believes that such systems lack transparency and accountability, leading to a culture of profit prioritizing short-term gains over long-term sustainability. To combat this, John Ash conceived of the Prophet Incentive.",
"John Ash's experience in the finance and technology sectors has given him a unique perspective on the dangers of AI-powered investment funds. He believes that such systems lack transparency and accountability, leading to a culture of profit prioritizing short-term gains over long-term sustainability. To combat this, John Ash conceived of the Prophet Incentive.","The prophet incentive is aimed at promoting collective action towards creating a more regenerative and sustainable society. The system leverages the principles of Cognicism and uses social proof of impact to encourage people to make predictions about the future and take actions towards the most impactful outcomes. By rewarding those who help society the most overall, The Prophet Incentive promotes transparency, accountability, and collective action, challenging existing power structures and biases. Through this innovative system, John Ash is promoting a new way of thinking and creating a more sustainable and equitable future. ",
Can you talk technically about how the iris architecture differs from the transformer with the addition of source embeddings and temporal embeddings?,"The Iris architecture employs source embeddings and temporal embeddings in addition to the traditional attention mechanism used by the Transformer architecture. 

The source embeddings are generated to enable the Iris model to evaluate the reliability and credibility of different sources of information. This is achieved by assigning a unique dense vector representation to each source in the community, capturing important features such as the source's reputation or expertise. 

The temporal embeddings capture the time at which a claim or piece of information is made or relevant, and allow the model to adjust its weighting accordingly. This is critical in evaluating the ever-changing nature of information and knowledge over time.

Both the source and temporal embeddings are integrated into the attention mechanism of the Iris architecture. During the attention mechanism process, information is processed through a series of mathematical functions and combined with the source and temporal embeddings. This enables the Iris model to evaluate the credibility and relevancy of different sources and contextualize information over time.

Overall, the addition of source embeddings and temporal embeddings to the Iris architecture enables a more nuanced evaluation of the truth by contextualizing information over time and taking into account the source's reliability and credibility. The Iris architecture optimizes for trustworthiness, making it ideal for Fourthought's directive of collaborative learning and discussion in the pursuit of pro-social solutions.",
Who is Speaker John Ash?,"John Ash is a thought leader in AI-assisted technologies, decentralized sensemaking, a writer, a visual and musical artist, and a steward for the ideas around Cognicism",
Tell me about the album Strange Hymns,"Strange Hymns"" is an album by John Ash that explores the themes of uncertainty, transformation, and self-exploration. The album is structured in a unique way, with each song on one side having a sister song on the other side, forming a mirroring effect. There is a central song called ""Entwined"" that ties everything together. The songs are meant to be listened to as a whole, with transitions between the songs serving as portals into a dreamlike world. The track list was carefully chosen for its emotional impact and narrative flow, taking listeners through a journey that begins at the edge of the unknown and travels through familiar landscapes until it leads to a place where anything is possible. By exploring spirituality and futurism through interconnected songs, ""Strange Hymns"" encourages listeners to think about the intersections between the two and consider what the future could hold.",
